"title","noise_denom","n","true_beta_range","noise_coef","sd","alpha","location"
"diff_hist_beta20360.png","1","100","-20,20","0.5","5","1","mean"
"diff_hist_beta20361.png","1","100","-20,20","0.5","6","0.01","median"
"diff_hist_beta20362.png","1","100","-20,20","0.5","6","0.01","mean"
"diff_hist_beta20363.png","1","100","-20,20","0.5","6","0.1","median"
"diff_hist_beta20364.png","1","100","-20,20","0.5","6","0.1","mean"
"diff_hist_beta20365.png","1","100","-20,20","0.5","6","0.5","median"
"diff_hist_beta20366.png","1","100","-20,20","0.5","6","0.5","mean"
"diff_hist_beta20367.png","1","100","-20,20","0.5","6","1","median"
"diff_hist_beta20368.png","1","100","-20,20","0.5","6","1","mean"
"diff_hist_beta20369.png","1","100","-20,20","0.5","7","0.01","median"
"diff_hist_beta20370.png","1","100","-20,20","0.5","7","0.01","mean"
"diff_hist_beta20371.png","1","100","-20,20","0.5","7","0.1","median"
"diff_hist_beta20372.png","1","100","-20,20","0.5","7","0.1","mean"
"diff_hist_beta20373.png","1","100","-20,20","0.5","7","0.5","median"
"diff_hist_beta20374.png","1","100","-20,20","0.5","7","0.5","mean"
"diff_hist_beta20375.png","1","100","-20,20","0.5","7","1","median"
"diff_hist_beta20376.png","1","100","-20,20","0.5","7","1","mean"
"diff_hist_beta20377.png","1","100","-20,20","0.5","8","0.01","median"
"diff_hist_beta20378.png","1","100","-20,20","0.5","8","0.01","mean"
"diff_hist_beta20379.png","1","100","-20,20","0.5","8","0.1","median"
"diff_hist_beta20380.png","1","100","-20,20","0.5","8","0.1","mean"
"diff_hist_beta20381.png","1","100","-20,20","0.5","8","0.5","median"
"diff_hist_beta20382.png","1","100","-20,20","0.5","8","0.5","mean"
"diff_hist_beta20383.png","1","100","-20,20","0.5","8","1","median"
