"Hetero_pwr","median","var"
3.4,-2.22216823744085e-28,5.31967986693039e-56
3.41,-1.17006493383087e-12,1.09062625253263e-24
3.42,4.36565130723216e-29,9.52559264361351e-57
3.43,-8.81755113368854e-13,1.13836260556056e-24
3.44,6.27551344223321e-14,9.47978790296132e-26
3.45,1.43377963063937e-29,8.15158535002115e-57
3.46,-7.97172106103972e-13,1.29914366360293e-24
3.47,-2.22690424277144e-29,5.94981927578382e-57
3.48,-1.07911546365358e-12,7.08334672136497e-25
3.49,2.15095496969298e-13,7.92253345892502e-25
3.5,-2.50231420190145e-28,7.5322530551405e-56
3.51,-4.78848960483447e-13,9.68130450113959e-26
3.52,-2.57432475336827e-12,7.87452551906934e-25
3.53,-3.99310641993043e-29,1.07477803774399e-56
3.54,-5.01131580676884e-13,1.72452667566436e-25
3.55,1.15505827125162e-13,4.95870350971215e-25
3.56,-6.99582696399414e-29,7.00129616308976e-56
3.57,8.46739567350596e-13,1.10848743350213e-24
3.58,-5.25687937624752e-13,2.57544629538645e-25
3.59,-1.04591890703887e-12,7.34857651292104e-25
3.6,-2.41016095969826e-13,1.33414959108246e-24
3.61,-8.04187387925711e-29,5.17574384529591e-57
3.62,1.22781784739345e-13,9.94252052090452e-25
3.63,7.01220415066928e-13,7.57676740883044e-25
3.64,-2.03940963664163e-28,4.99372005196672e-56
3.65,-1.19821639908231e-28,4.90276779587437e-56
3.66,-1.43700162880123e-13,9.99083482395004e-26
3.67,-9.64638688515464e-29,8.33169887349976e-57
3.68,-1.98017688898113e-29,1.20540035955045e-57
3.69,-6.29751447170279e-29,1.17489964108838e-55
3.7,-8.20972871339808e-29,1.00682899950405e-56
3.71,-7.73945517655546e-30,5.73439826527048e-58
3.72,2.07158975787745e-29,6.48789716333849e-57
3.73,-8.39463609736413e-13,1.35840693164838e-24
3.74,-3.7493919080589e-13,1.79149963548264e-25
3.75,-3.24234861182049e-13,1.30590021395171e-24
3.76,1.07365849544294e-12,4.76038509483317e-25
3.77,-3.87437378179425e-29,4.38297043462514e-57
3.78,-4.06377751020089e-31,1.06722340659686e-56
3.79,-1.58024704433046e-12,1.27790193043532e-24
3.8,2.09183781407774e-13,4.55901546818516e-25
3.81,-1.13050191430375e-12,5.7873745377833e-25
3.82,2.00088834390044e-14,4.99007675636845e-26
3.83,-7.56615998783354e-29,4.41734613996631e-57
3.84,1.82899384526536e-12,3.13722447658589e-24
3.85,-5.06133801536635e-13,1.40498779864547e-25
3.86,-9.24703226416613e-29,7.80047175630533e-57
3.87,-3.51864535055791e-29,2.32447385712823e-56
3.88,-1.72531904659394e-28,7.16374469535484e-56
3.89,8.96125461184239e-28,6.69813290207266e-56
3.9,-2.0672500368226e-28,7.48845243140035e-56
3.91,-2.55959375831031e-28,1.06557856580074e-55
3.92,-2.89851428152874e-28,2.00075496486954e-55
3.93,-6.4660833975263e-29,1.95200164045706e-56
3.94,2.95585778076202e-14,1.35892257401722e-24
3.95,5.93900040257722e-13,2.32642270256831e-25
3.96,-1.81306236875225e-28,1.0245973766451e-55
3.97,-9.36779542826116e-13,5.05168059778381e-25
3.98,-2.00258170472443e-28,4.5170157167931e-56
3.99,-6.39086452413734e-29,9.6388151306547e-57
4,-3.31468560756686e-28,8.25362528983068e-56
4.01,-3.04106233950107e-29,8.96997188485105e-57
4.02,1.10958353616297e-12,1.44744187067462e-24
4.03,2.09001882467419e-12,2.89239640345124e-24
4.04,-9.20367370780202e-29,8.96854120992613e-57
4.05,-1.82298000693878e-28,1.89892922335422e-55
4.06,-1.20590299071746e-28,1.61309080113831e-56
4.07,4.04793730648346e-30,5.59658971919491e-57
4.08,-2.58543150566089e-28,5.71219569454164e-56
4.09,-4.73391992272809e-13,1.41161373063426e-24
4.1,-1.70985003933311e-13,1.19776415104575e-25
4.11,-2.74768276003884e-28,1.09904761910879e-55
4.12,4.0381564758718e-13,2.71823969414243e-24
4.13,3.91082721762359e-13,5.92936973622846e-25
4.14,-5.11350929335966e-29,4.40578568259542e-56
4.15,6.38920027995482e-13,1.03355658632682e-24
4.16,1.78791109678956e-28,8.29696050043112e-56
4.17,6.64297618640647e-29,8.11496619237612e-56
4.18,3.37214410597871e-29,1.87984999824447e-55
4.19,-9.45874489843845e-14,9.20069931710834e-25
4.2,-8.8994056568481e-13,1.51259600605542e-24
4.21,-8.25715342864625e-29,5.98138530174478e-57
4.22,-9.91349224932492e-14,5.78521343528203e-26
4.23,1.35969457915053e-12,3.96117254348185e-24
4.24,-7.3197176470231e-29,5.47382205473272e-57
4.25,-2.83489498542622e-12,2.51988774491428e-24
4.26,-4.47095871605283e-29,1.73088738182215e-56
4.27,2.16641637962312e-12,2.85669267170621e-24
4.28,-4.66116034658626e-13,4.44718255378781e-25
4.29,2.47447246065694e-28,9.26052945129578e-56
4.3,-1.19559028605921e-28,3.53188649873908e-56
4.31,-1.65073288371786e-12,4.02641962283038e-24
4.32,1.66255631484091e-12,2.89009453948437e-24
4.33,3.25378814892478e-28,5.02600981588779e-56
4.34,1.08684616861865e-13,5.11044850967164e-26
4.35,1.06859926525189e-29,1.35176572048255e-56
4.36,4.46463717918859e-31,9.92964291787394e-56
4.37,-2.12140630432063e-28,2.78121323173517e-56
4.38,-2.12367012863979e-13,1.13994244600976e-24
4.39,-3.65891452619312e-28,9.37524408330654e-56
4.4,8.7565126591837e-29,8.23210253040475e-57
4.41,5.28958137107556e-29,2.16600274323226e-56
4.42,-6.5563315009701e-29,1.16035696412161e-56
4.43,3.000566559362e-29,5.21919549630609e-56
4.44,1.40062184073031e-12,2.75263186023152e-24
4.45,-1.43654688145034e-12,8.63968828589642e-25
